pc,code,ProjectNumber,ProjectLeader,plna1,Division,Participating,ProjectTitle,Sponsor,StartingDate,FinishDate,Extension,Cost,Status,Expertise_1,Expertise_2,Expertise_3,Expertise_4,Expertise_5,Expertise_6,Expertise_7,Expertise_8,Expertise_9,Expertise_10,,,,,,,,
CNP,7,2440,KK,K. Krishnamurthi,HTC,Nil,"Environment And Community Health Assessment Study In And Around RajpurA.D.Bhanarkarariba Complex Of M/s. Hindustan Zinc Ltd., Rasamand District, Rajasthan","Hindustan Zinc Ltd., Udaipur",43497,44651,45016,70.9,ONG,Environmental Science,Public Health,Epidemiology,Toxicology,Geology,Hydrology,Nil,Nil,Nil,Nil,,,,,,,,
CNP,5,2441,AM,A. Maldhure,WTMD,EM,Understanding Water Safety With Focus On Membrane/reverse Osmosis (ro) Based Plants And Water Atms For Drinking Water Supply In Select Habitations,"Unicef, Mumbai",43497,44043,,2 83633,ONG,Water Treatment Technologies,Membrane Filtration Systems,Reverse Osmosis Technology,Water Quality Testing And Analysis,Water Distribution Systems,Water Management And Conservation,Nil,Nil,Nil,Nil,,,,,,,,
CNP,7,2442,"AB, SD","A. Bansiwal, S. Dabe",BDG,Nil,Environmental Study From Specialized Ins,"Hindustan Zinc Ltd., Kayad (rajasthan)",43467,44227,44561,30,ONG,Environmental Science,Ecology,Climate Science,Environmental Policy,Environmental Law,Environmental Engineering,Nil,Nil,Nil,Nil,,,,,,,,
CNP,2,2443,"RV, KK","R. Vijay, K. Kalwapudi",MZC,ESDMO,"Monitoring Of Effluent Quality At Kurkumbh Cetp, Pune","Maharashtra Industrial Development Corporation (midc), Baramati",43497,44377,44651,11.5,ONG,Environmental Science,Water Quality Analysis,Chemical Engineering,Industrial Waste Management,Pollution Control,Analytical Chemistry,Nil,Nil,Nil,Nil,,,,,,,,
CNP,4,2444,LS,L. Singh,EBGD,Nil,Development Of Bamboo Diversity Using Eco-rejuvenation Technology For Dust Suppression Around Koradi Thermal Plant Area,"Maharashtra State Power Generation Co. Ltd., Koradi (m.s.)",43504,44601,45169,31.9,ONG,Bamboo Cultivation And Propagation Techniques,Eco-rejuvenation Technology,Dust Suppression Techniques And Technologies,Environmental Impact Assessment,Soil Science,Climate Change Adaptation And Mitigation,Nil,Nil,Nil,Nil,,,,,,,,
CNP,7,2445,"LD, PL","L. Deshpande, P. Labhasetwar",WTMD,EM,Evaluation Of Efficacy Of Drinking Water Disinfection By Ozonator,"Creative Oz-air (i) Pvt. Ltd., Noida",43516,44246,,15,ONG,Water Quality Testing Methods And Techniques,Water Quality Management,Sampling Techniques And Protocols,Data Analysis And Interpretation,Water Treatment Technologies And Processes,Public Health And Safety,Nil,Nil,Nil,Nil,,,,,,,,
CNP,2,2446,RV,R. Vijay,MZC,ESDMO,"Forest Clearance And Environmental Monitoring, Surveillance Including Handholding Support For Mumbai Metro Line 2a, 2b And 4 Project Affected By Mangroves","Mumbai Metropolitan Region Development Authority (mmrda), Mumbai",43497,44196,44561,91.15,ONG,Hydrology,Water Quality Analysis,Geology,Environmental Science,Gis Mapping And Analysis,Community Development And Engagement,Nil,Nil,Nil,Nil,,,,,,,,
CNP,7,2447,"RK, PRT","R. Karthik, P. R. Thawale",EBGD,Nil,"Feasibility Studies And Status Report For Designing Hydraulic Management System For Land Application Of Wastewater At Hindustan Coca Cola Ltd., Sanand","Hindustan Coca Cola Ltd., Sanand, Ahmedabad (gujarat)",43528,43893,45016,21.28,ONG,Solid Waste Management Policies And Regulations,Waste Characterization And Quantification,Waste Collection And Transportation Systems,Waste Disposal And Treatment Technologies,Environmental Impact Assessment,Public Health And Safety,Nil,Nil,Nil,Nil,,,,,,,,
GAP,5,2448,KK,K. Kumari,EISD,EISD,Institutional Capacity Building For Sustainable Management Of Chemicals Wastes With Special Focus On (pops),"Unep, Geneva",43514,44974,45107,11 14298,ONG,Environmental Science,Chemical Engineering,Waste Management,Public Health,Policy And Governance,Industrial Safety,Nil,Nil,Nil,Nil,,,,,,,,
GAP,2,2449,RV,R. Vijay,MZC,ESDMO,Research And Development Studies For Urban Noise Pollution As Per Directives Of Hon'ble High Court,"Maharashtra Pollution Control Board (mpcb), Mumbai",43525,44286,45382,24 75,ONG,Environmental Engineering,Chemical Engineering,Waste Management,Water Treatment,Microbiology,Biotechnology,Nil,Nil,Nil,Nil,,,,,,,,
CNP,7,2450,MSK,M.S.Kumar,EISD,EISD,"Environmental Risk Assessment For Hazardous Waste Disposal In Abandoned Secured Landfill At Chlor-akali Plant, Renukoot, Sonebhadra, U.p.","Grasim Industries Ltd., Renukoot (u.p.)",43466,44196,44926,40,ONG,Air Pollution,Traffic Management And Flow In Urban Areas,Environmental Engineering And Technology,Air Pollution Monitoring And Measurement Techniques,Hvac Heating,Ventilation,Nil,Nil,Nil,Nil,,,,,,,,
CNP,5,2451,"SP, PL","S. Pramanik, P. Labhasetwar","KZC, WTMD",EM,Assessment And Grading Of Water Testing Laboratories Of West Bengal Phed,"Unicef, Kolkata",43539,43813,44179,92,ONG,Geology,Hydrology,Geochemistry,Geophysics,Environmental Science,Mining Engineering,Nil,Nil,Nil,Nil,,,,,,,,
GAP,1,2452,KK,K. Kumari,EISD,Chemical & Waste,Establishment Of Persistent-organic Pollutants Research Cell (pops Reserch Cell),"Moef & Climate Change, New Delhi",43525,44985,,13 51888,ONG,Microbiology,Environmental Science,Biotechnology,Waste Management,Chemical Engineering,Biochemistry,Nil,Nil,Nil,Nil,,,,,,,,
CNP,3,2453,RBM,R. B. Mondal,WWT,Nil,Development Of Method For Determining Chemical Oxygen Demand Of High Chloride Containing Wastewater Generated During The Synthesis Of Propylene Oxide At Manali Petrochemicals Ltd. Chennai,Manali Petrochemicals Ltd. Chennai,43647,44377,44651,5,ONG,Water Treatment Processes,Microbiology And Waterborne Pathogens,Chemistry Of Silver Ionization,Water Quality Testing And Analysis,Epidemiology And Public Health,Regulatory Compliance And Standards,Nil,Nil,Nil,Nil,,,,,,,,
CNP,7,2454,"PM, SP","P. Manekar, S. Pal",WWT,ESDMO,Assessment Of Aquifer Vulnerability Due To Tailing Dam At Rajpura-dariba Mines Of Hindustan Zinc Ltd.,Hindustan Zinc Ltd. Udaipur,43556,43921,44408,2 65,ONG,Chemical Spills And Contamination,Soil Remediation Techniques,Hazardous Waste Management,Environmental Regulations And Compliance,Chemical Transportation Safety,Public Health And Safety,Nil,Nil,Nil,Nil,,,,,,,,
CNP,7,2455,ARK,A. R. Kumar,SHWM,SHWM,Characterization Of Solid Waste Generated From M/s. Kohler India Corporation Pvt. Ltd. Jhagadia For Environmentally Sound Management Of Wastes,Kohler India Corporation Pvt. Ltd. Jhagadia,43556,43738,44104,7,ONG,Hydrology,Geology,Geographic Information Systems,Remote Sensing,Climate Change Adaptation And Mitigation,Environmental Science,Nil,Nil,Nil,Nil,,,,,,,,
CNP,7,2456,"AM, PSR, AB","A. Middey, P. S. Rao, A. Bhanarkar",APC,EE,Stack And Fugitive Emission Study For 3 Units Of Aluminium Melting Furnace And Appraisal For The Requirement Of Apc Systems,"Hindalco Industries Ltd., Mouda, Nagpur",43557,43921,44286,5,ONG,Air Pollution Monitoring And Measurement Techniques,Chemistry,Coal Mining And Its Impact On The Environment,Environmental Policy And Regulations,Statistical Analysis,Health Effects Of Particulate Matter Exposure,Air Quality Modeling,Physics,Nil,Nil,,,,,,,,
CNP,7,2457,"MSK, PKN","M. S. Kumar, P. K. Naoghare",EISD,EISD,Environmental Impact Assessment Study For Capacity Addition Of Integrated Steel Plant From 0 Mtpa To 0 Mtpa And Captive Power Plant From 300 Mw To 600 Mw At M/s. Jswe Steel Ltd,"Jsw Steel Ltd., Raigad",43556,44651,45016,05 05,ONG,Air Quality Monitoring And Analysis,Environmental Science And Engineering,Atmospheric Chemistry And Physics,Data Science And Analytics,Geographic Information Systems,Public Health And Epidemiology,Nil,Nil,Nil,Nil,,,,,,,,
CNP,2,2458,"PL, AM","P. Labhasetwar, A. Maldhure",WTMD,EM,Evaluation Of Hand Pump Attachable Fluoride Removal Plants Installed By Various Agencies For Rural Drinking Water Supply In NuapadA.D.Bhanarkaristrict Of Odisha State,"Rural Water Supply And Sanitation Department, Bhubaneshwar (odisha)",43466,44377,44926,23,ONG,Mining And Mineral Processing,Environmental Engineering,Chemical Engineering,Geology And Geotechnical Engineering,Waste Management And Disposal,Materials Science,Nil,Nil,Nil,Nil,,,,,,,,
GAP,1,2459,"RD, SP, ND","R. Dhodapkar, S. Pal, N. A.Dafale","DRC, WWT, EBGD",Water & Wastewater,Pani Water-photo-irradiation And Adsorption Based Novel Innovations For Water-treatment,"Department Of Science & Technology (dst), New Delhi",43555,45016,45382,59 93,ONG,Wastewater Treatment Technologies,Phytorid Technology,Environmental Engineering,Water Quality Analysis,Project Management,Community Engagement And Participation,Nil,Nil,Nil,Nil,,,,,,,,
CNP,2,2460,RV,R. Vijay,MZC,ESDMO,"Advisory Services For Restoration Of Jogila Lake Panchpakhadi, Thane","Thane Municipal Corporation, Thane",43525,44074,44651,2 4,ONG,Environmental Science And Ecology,Water Management,Hydrology And Hydrogeology,Geographical Information Systems Gis,Landscape Architecture And Design,Civil Engineering And Construction,Community Development And Engagement,Public Policy And Governance,Sustainable Development And Conservation,Project Management And Implementation,,,,,,,,
CNP,5,2461,"GK, SP","G. Khadse, S. Pramanik","WTMD, KZC",EM,Analysis Of Technologies Adopted In Water Treatment Units In Bihar And Adequacy Of Operation And Maintenance Cost,"Unicef, Patna (bihar)",43556,44286,,1 264,ONG,Water Treatment Technologies,Data Analysis And Statistical Modeling.,Policy And Regulations,Environmental Engineering,Chemical Engineering,Civil Engineering,Water Resource Management,Public Health And Sanitation,Nil,Nil,,,,,,,,
CNP,7,2462,GRK,G. R.Kale,SHWM,SHWM,Technical Audit Of Nobel Exchange Environment Solutions Bio-cng Plant,"Nobel Exchange Environment Solutions, Pune",43556,43921,44651,12,ONG,Bio-cng Production Process,Biogas Production And Purification,Anaerobic Digestion Technology,Gas Storage And Compression Systems,Electrical And Mechanical Engineering,Environmental Regulations And Compliance,Health And Safety Protocols,Quality Control And Assurance,Data Analysis And Reporting,Project Management And Planning.,,,,,,,,
GAP,1,2463,AK,A. Kapley,DRC,EB,Engineered Bioremediation Approaches For Onsite Treatment Of Soil Contaminated With Crude Oil,"Department Of Biotechnology (dbt), New Delhi",43543,44638,45187,26 5456,ONG,Bioremediation Principles And Techniques,Microbial Ecology And Physiology,Soil Chemistry And Physics,Petroleum Chemistry And Properties,Environmental Regulations And Policies,Risk Assessment And Management,Site Characterization And Monitoring,Remediation System Design And Operation,Data Analysis And Interpretation,Project Management And Communication.,,,,,,,,
CNP,5,2464,"RB, YP, SAP, AS","R. Biniwale, Y. Pakade, S. A. Praveen, A. Sharma",CTMD,EM,Development Of National LcA.D.Bhanarkaratabase Roadmaps Including Further Development Of The Technical Helpdesk For National LcA.D.Bhanarkaratabase,"Ecoinvent, Zurich, Switzerland",43626,43991,44286,84746,ONG,Life Cycle Assessment Lca Methodology,Environmental Science And Sustainability,Database Management And Development,Data Analysis And Interpretation,Project Management,Technical Writing And Communication,Stakeholder Engagement And Facilitation,Policy And Regulatory Frameworks,Information Technology And Software Development,Quality Assurance And Control Processes.,,,,,,,,
CNP,3,2465,GRP,G. R. Pophali,WWT,ESDMO,"Feasibility Studies And Detailed Engineering For Implementaion Of A Sewage Treatment System At Indira Sagar Colony Area, Narmada Nagar, Dist: Khandwa (m.p.)","Nhdc Ltd., Narmada Nagar, Khandwa (m.p.)",43580,44373,44736,2 5,ONG,Civil Engineering,Environmental Engineering,Chemical Engineering,Mechanical Engineering,Electrical Engineering,Project Management,Water Resource Management,Geotechnical Engineering,Surveying And Mapping,Public Health And Sanitation Engineering,,,,,,,,
GAP,1,2466,PJP,P. J. Prasad,AID,ES,Development Of Lowpan (lot) Compliant Sensor Modules Network For Monitoring Of Obnoxious Odour Gases In Industrial Environment,"Department Of Science & Technology (dst), New Delhi",43557,44652,45199,1 86328,ONG,Internet Of Things,Wireless Sensor Networks,Low-power Wide-area Networks,Industrial Process Monitoring,Chemical Engineering,Environmental Monitoring,Gas Detection And Analysis,Data Analysis And Visualization,Embedded Systems Design,Industrial Automation And Control Systems.,,,,,,,,
CNP,7,2467,"RK, PRT","R. Karthik, P. R. Thawale",EBGD,TDW,"Feasibility Studies For Designing Hydraulic Management System For Treatment And Disposal Of Wastewater At Spicer India Pvt. Ltd., Chakan","Spicer India Pvt. Ltd., Chakan, Pune",43560,43925,44561,11.5,ONG,Hydraulic Engineering,Wastewater Treatment,Environmental Engineering,Chemical Engineering,Mechanical Engineering,Electrical Engineering,Project Management,Cost Estimation,Risk Assessment,Regulatory Compliance.,,,,,,,,
CNP,5,2468,SK,S. Kumar,TDC,SHWM,Bio-hcng From Agricultural By-products For Transport Fuel Market In Development Countries,"Jeonjin Entech Ltd., Korea",43617,44712,,61.99,ONG,Bioenergy And Biofuels,Agricultural Waste Management,Renewable Energy Technologies,Transportation And Logistics,Environmental Sustainability,Chemical Engineering,Energy Policy And Regulations,Market Analysis And Forecasting,International Development And Aid,Carbon Emissions Reduction Strategies.,,,,,,,,
CNP,2,2469,NL,N. Labhasetwar,ERMD,Nil,Pyrolysis Of Bamboo For High Value Products,"Maharashtra Bamboo Development Board, Nagpur",43678,44409,45291,40,ONG,Bamboo Cultivation And Propagation Techniques,Biomass Conversion Technologies,Pyrolysis Process And Equipment,Chemical Composition Of Bamboo,Product Development And Optimization,Market Analysis And Demand Forecasting,Environmental Impact Assessment,Energy And Resource Efficiency,Quality Control And Assurance,Intellectual Property And Patenting.,,,,,,,,
GAP,1,2470,"BPSR, NK","B. P. S. Rao, N. Kamal",APC,Nil,National Ambient Air Quality Monitoring 2018-2021,"Central Pollution Control Board (cpcb), Delhi",43191,44286,,468,ONG,Air Pollution,Air Quality Monitoring,Air Quality Monitoring And Analysis,National And International Air Quality Standards And Regulations,Air Pollution And Its Effects On Human Health,Climate Change Adaptation And Mitigation,Air Quality Management,Nil,Nil,Nil,,,,,,,,
CNP,7,2471,"SS, SB","S. Saravanadevi, S. Basha","HTC, HZC",Nil,"Environmental And Community Health Assessment Study In And Around Chanderiya Lead And Zinc Smelter (clzs) Of M/s. Hindustan Zinc Ltd., Chanderiya (rajasthan)","Hindustan Zinc Ltd., Chanderiya (rajasthan)",43591,44651,,65,ONG,Environmental Science,Public Health,Toxicology,Epidemiology,Public Health And Safety,Environmental Law And Policy,Community Development,Environmental Monitoring And Assessment,Risk Assessment And Management,Sustainable Development And Corporate Social Responsibility.,,,,,,,,
CNP,2,2472,RV,R. Vijay,MZC,ESDMO,Advisory Services For Scientific Closure Of Dumping Site At Diva-khardi,"Thane Municipal Corporation, Thane",43556,44104,,1 75,ONG,Environmental Science,Waste Management,Soil Science,Geology,Hydrology,Chemistry,Civil Engineering,Risk Assessment,Public Health,Regulatory Compliance,,,,,,,,
CNP,7,2473,"RR, MK","R. Ram, M. Kalita",HZC,EM,Groundwater And Soil Quality Assessment Studies In And Around Nichino Chemical India Pvt. Ltd.,"Nichino Chemical India Pvt. Ltd., Hyderabad",43556,44286,,1 45,ONG,Hydrogeology,Soil Science,Environmental Chemistry,Water Quality Analysis,Contaminant Transport Modeling,Geographical Information Systems Gis,Environmental Monitoring And Sampling Techniques,Risk Assessment And Management,Regulatory Compliance And Environmental Laws,Remediation Technologies And Techniques.,,,,,,,,
CNP,2,2775,"M.K, H.B","M.Kalita,H.Bherwani","HZC,CTMD",Nil,"Asessment Of The Contamination Status And Environment Damages Of Oora Kunta Cheruvu,yadagiripally,telangana","Roads & Building Department (r & B), Sangareddy,telanagana",44501,45595,,21,ONG,Environmental Science,Water Quality Analysis,Soil Science,Ecotoxicology,Environmental Chemistry,Environmental Engineering,Environmental Policy And Regulations,Geographic Information Systems,Hydrology,Environmental Impact Assessment,,,,,,,,
GAP,1,2475,MTA,M. T. Arasu,CZC,Nil,Low Cost Innovative Technology For Water Quality Monitoring And Water Resource Management For Urban And Rural Water System In India (lotus),"Department Of Science & Technology (dst), New Delhi",43556,45016,,50.09,ONG,Water Quality Monitoring And Analysis,Water Resource Management Strategies And Policies,Environmental Engineering And Science,Geographic Information Systems And Remote Sensing,Data Analysis And Interpretation,Resource Conservation,Community Engagement And Participation,Public Pubic Health And Safety,Wastewater Treatment Technologies,Renewable Energy,,,,,,,,
TSP,7,2476,"SKG,RS","S. K. Goyal, R. Sharma",DZC,EM,Performance Evaluation Of Etp At M/s. Ece,"Ece Industries Ltd., Ghaziabad",43313,43677,,5,ONG,Environmental Engineering,Chemical Engineering,Water Treatment,Wastewater Treatment,Industrial Processes,Process Control,Analytical Chemistry,Microbiology,Quality Control,Data Analysis And Interpretation,,,,,,,,
CNP,7,2477,DM,D. Majumdar,KZC,Nil,"Air Pollution Assessments For Improved Air Quality Management At The Pig-iron And Ductile Iron Pipe Manufacturing Plant Of Tata Metaliks Ltd., Kharagpur (w.b.)","Tata Metaliks Ltd., Kolkata",43558,44471,,25,ONG,Air Pollution Monitoring And Measurement Techniques,Industrial Emissions Control Technologies,Environmental Regulations And Compliance,Chemical And Physical Properties Of Air Pollutants,Air Pollution And Its Effects On Human Health,Statistical Analysis And Data Interpretation,Environmental Impact Assessment,Public Health And Safety,Waste Management And Disposal,Sustainable Development And Corporate Social Responsibility.,,,,,,,,
CNP,4,2478,LS,L. Singh,EBGD,EM,Development Of Green Belt Of Bamboo Diversity For Dust Suppression Using Eco-rejuvenation Technology At Mahagenco Land Area,"Maharashtra State Power Generation Co. Ltd. (mspgcl), Koradi, Nagpur",43602,45428,,9 7,ONG,Bamboo Cultivation And Propagation Techniques,Soil Science And Soil Health Management,Environmental Science And Ecology,Land Use Planning And Management,Water Resource Management,Climate Change Adaptation And Mitigation,Sustainable Development And Green Technologies,Project Management And Implementation,Stakeholder Engagement And Community Outreach,Monitoring And Evaluation Of Ecological Restoration Projects.,,,,,,,,
TSP,1,2479,"SKG, PM","S. K. Goyal, P. Mandal",DZC,EM,Inspection Of Gpis For Compliance Verification For Select Food And Beverages Industries In Western U.p. And Uttarakhand,"Central Pollution Control Board (cpcb), Delhi",43586,44104,44286,10,ONG,Safety Regulations And Compliance,Quality Control And Assurance,Inspection Techniques And Methodologies,Food And Beverage Production Processes,Good Manufacturing,Hazardous Materials Handling And Storage,Microbiology,Nil,Nil,Nil,,,,,,,,
GAP,1,2480,"SKG, PS","S. K. Goyal, P. Saxena",DZC,Nil,"Megacity Delhi Atmospheric Emission Quantification, Assessment And Impacts (delhi Flux)","Ministry Of Earth Sciences (moes), New Delhi",43009,44926,,30.47,ONG,Atmospheric Science,Environmental Science,Air Quality Monitoring And Management,Climate Change Adaptation And Mitigation,Urban Planning And Development,Energy And Transportation Systems,Public Health And Epidemiology,Data Science And Analytics,Policy And Governance,Sustainable Development And Resource Management,,,,,,,,
CNP,7,2481,"ANV, ARK","A. N. Vaidya, A. R. Kumar",SHWM,SHWM,"Providing Technical Services During Phase-i Of The Full Scale Soil Remediation At Mercury Contaminated Site Of Hindustan Unilever Ltd., Kodaikanal","Hindustan Unilever Ltd., Kodaikanal",43617,43982,44561,3 5,ONG,Soil Remediation Techniques And Technologies,Mercury Contamination And Its Effects On The Environment,Environmental Regulations And Compliance,Project Management And Planning,Hazardous Waste Management,Chemical Analysis And Laboratory Testing,Geotechnical Engineering And Site Characterization,Waste Disposal And Treatment Methods,Environmental Monitoring And Data Analysis,Stakeholder Engagement And Communication Strategies.,,,,,,,,
CNP,7,2482,"ANV, SYB","A. N. Vaidya, S.Y. Bodkhe",SHWM,SHWM,"Environmental Monitoring And Evaluation For Gainful Utilization Of Jarofix In Road Constuction By Hindustan Zinc Ltd. (hzl), Chanderia","Hindustan Zinc Ltd. (hzl), Chittorgarh (rajasthan)",43617,43982,44439,30,ONG,Environmental Monitoring And Assessment,Road Construction,Mining And Mineral Processing,Waste Management,Sustainable Development,Environmental Impact Assessment,Soil Science,Water Quality Management,Air Pollution Control,Environmental Regulations And Compliance.,,,,,,,,
CNP,2,2483,SK,S. Kumar,TDC,SHWM,"Status Of Closure Of HapaniA.D.Bhanarkarumpsite, Agartala And Supervision In Implementation Of Closure Plan","Agartala Municipal Corporation, Agartala",43617,44347,45107,35,ONG,Waste Management,Environmental Engineering,Landfill Closure And Remediation,Soil Science,Water Quality Management,Air Pollution Control,Pubic Health And Safety,Project Management,Legal And Regulatory Compliance,Public Relations And Community Engagement.,,,,,,,,
CNP,7,2484,"SKG, MSK","S. K. Goyal, M. S. Kumar","DZC, EISD",EM,Eia Study For Environment Clearance,"Nayara Energy Ltd., Vadinar (gujarat)",43466,44561,,50,ONG,Environmental Science,Ecology,Geology,Hydrology,Air Quality Management,Noise Pollution Control,Waste Management,Social Impact Assessment,Legal Framework For Environmental Clearance,Project Management And Planning.,,,,,,,,
CNP,2,2485,KVG,K. V.George,APC,Nil,Study On Technological And Environmental Issues Related To Coal Gasifier Of Morbi Wakaner Area,"Gujarat State Pollution Control Board, Gandhinagar",43647,44196,44286,2 15,ONG,Coal Gasification Technology,Environmental Impact Assessment,Air Pollution Control,Water Pollution Control,Waste Management,Energy Efficiency,Renewable Energy Sources,Climate Change Adaptation And Mitigation,Public Health And Safety,Regulatory Compliance And Policy Analysis.,,,,,,,,
CNP,7,2486,AG,A. Gupta,ERMD,Nil,Field Based Performance Assessment Of Improved Rocket Cook-stoves And Estimation Of Benefits In Terms Of Fuel And Emission Reduction,"Glenmark Foundation, Mumbai",43615,44651,45016,21,ONG,Rocket Stove Technology,Combustion Science,Energy Efficiency,Environmental Engineering,Data Analysis And Statistics,Field Research Methods,Climate Change Adaptation And Mitigation,Sustainable Development,Biomass Energy,Air Pollution Control,,,,,,,,
TSP,3,2487,DM,D. Majumdar,KZC,Nil,"Monitoring And Assessment Of Stack Emissions For So2 And Nox In Thermal Units, Including Measurement Of Sulphur And Nitrogen Content In Coal","Damodar Valley Corporation, Kolkata",43627,44196,,3,ONG,Environmental Science,Chemical Engineering,Energy Engineering,Air Pollution Control,Analytical Chemistry,Combustion Science,Industrial Hygiene,Public Health And Safety,Quality Control And Assurance,Regulatory Compliance And Reporting.,,,,,,,,
CNP,3,2488,PVN,P. V. Nidheesh,EISD,EISD,Third Party Certification Of Progressive Mine Closure Activities In 30 Mines For Claiming Amounts Deposited In Escrow Accounts,"The Singareni Collieries Co. Ltd., Kothagudem",43617,44347,44712,22,ONG,Mining Operations And Processes,Environmental Regulations And Compliance,Mine Closure Planning And Execution,Third-party Certification Standards And Procedures,Financial Management And Accounting,Legal And Contractual Requirements For Escrow Accounts,Risk Assessment And Management,Stakeholder Engagement And Communication,Data Analysis And Reporting,Project Management And Coordination.,,,,,,,,
GAP,1,2489,GRP,G. R. Pophali,WWT,ESDMO,"Potential And Validation Of Sustainable Natural & Advance Technologies For Water And Wastewater Treatment, Monitoring And Safe Water Reuse In India (pavitr)","Department Of Science & Technology (dst), New Delhi",43556,45016,,16 1,ONG,Environmental Science,Chemical Engineering,Civil Engineering,Water Resource Management,Microbiology,Biotechnology,Nanotechnology,Sustainable Development,Public Health,Policy And Governance.,,,,,,,,
CNP,2,2490,PVN,P. V. Nidheesh,EISD,EISD,Study On Environmental Impact Of Stone Aggregate Mining In Andaman And Nicobar Island,"Andaman And Nicobar Administration, Port Blair",43556,44286,44926,2 5,ONG,Environmental Science,Geology,Mining Engineering,Ecology,Environmental Law And Policy,Environmental Impact Assessment,Sustainable Development,Climate Change Adaptation And Mitigation,Oceanography,Coastal Zone Management,,,,,,,,
CNP,2,2491,RV,R. Vijay,MZC,ESDMO,Technical Guidance For Environment Monitoring And Impact Assessment Works Along The Maharashtra Samruddhi Mahamarg,"Maharashtra State Road Development Corporation, Mumbai",43617,44742,,297,ONG,Environmental Science And Engineering,Air Quality Monitoring And Assessment,Water Quality Monitoring And Assessment,Noise Pollution Monitoring And Assessment,Soil Quality Monitoring And Assessment,Biodiversity Conservation And Management,Environmental Impact Assessment,Environmental Management Plan Emp,Geographic Information System Gis And Remote Sensing,Environmental Law And Policy.,,,,,,,,
GAP,1,2492,AK,A. Kapley,DRC,Nil,Bio-mimetic And Phyto-technologies Designed For Low-cost Purification And Recycling Of Water (india-h2o),"Department Of Biotechnology (dbt), New Delhi",43678,45504,,138,ONG,Biochemistry,Environmental Science,Chemical Engineering,Biotechnology,Water Treatment Technology,Plant Physiology,Microbiology,Materials Science,Nanotechnology,Sustainable Development,,,,,,,,
TSP,7,2493,AB,A. Bansiwal,SEAF,Nil,Sampling And Analysis Of Waste At Hzl,"Hindustan Zinc Ltd., Udaipur",43648,44013,44773,20,ONG,Waste Management,Environmental Science,Chemistry,Analytical Chemistry,Sampling Techniques,Data Analysis,Quality Control,Hazardous Waste Regulations,Industrial Processes,Pubic Health And Safety,,,,,,,,
CNP,2,2494,SK,S. Kumar,TDC,Nil,Technical Verification And Feasibility Study,"Ichalkaranji Nagar Parishad, Ichalkaranji",43678,44043,44561,3,ONG,Technical Analysis And Evaluation,Project Management,Risk Assessment And Management,Cost Analysis And Budgeting,Market Research And Analysis,Regulatory Compliance And Standards,Engineering Principles And Practices,Quality Assurance And Control,Data Analysis And Interpretation,Communication And Presentation Skills.,,,,,,,,
CNP,2,2495,PM,P. Manekar,WWT,Nil,Feasibility Studies For Establishment Of Treatment Scheme For Drain Discharges Into Different Lakes At Rajnandgaon City,"Nagar Palika Nigam, Rajnandgaon",43647,44196,44561,10,ONG,Environmental Science And Engineering,Water Quality Analysis And Monitoring,Hydrology And Water Resources Management,Waste Water Treatment Technologies,Environmental Impact Assessment,Environmental Law And Regulations,Project Management,Geographic Information Systems,Stakeholder Engagement And Communication,Cost-benefit Analysis And Financial Planning.,,,,,,,,
CNP,3,2496,RB,R. Biniwale,CTMD,Nil,Environmental Impact Study On Air Water And Soil With Remedial Measures For Iocl Panipat Refinery & Petrochemical Refinery,"Indian Oil Corporation Ltd. (iocl), Panipat",43662,44392,45291,370,ONG,Environmental Science,Chemical Engineering,Civil Engineering,Geology,Hydrology,Ecology,Environmental Law And Policy,Air Quality Management,Water Quality Management,Soil Science And Management,,,,,,,,
CNP,7,2497,RS,R. Sivacoumar,CZC,EQA,"Environmental Quality Assessment (eqa) Of The Beach Resorts & Theme Park Site Of M/s. Gem Stone Beach Resorts (p) Ltd., Muttukadu, Chennai","Gem Stone Beach Resorts (p) Ltd., Muttukadu, Chennai",43770,44530,44742,13,ONG,Environmental Science,Ecology,Environmental Engineering,Environmental Law And Policy,Water Quality Management,Air Quality Management,Soil Science,Environmental Impact Assessment,Waste Management,Sustainable Tourism Development,,,,,,,,
CNP,5,2498,"AM, PL","A. Maldhure, P. Labhasetwar",WTMD,EM,Improving The Status Of Water Quality Assessment In The State Of Rajasthan,"Unicef, Jaipur",43600,43920,44651,2 52628,ONG,Water Quality Analysis,Environmental Regulations And Policies,Water Treatment Technologies And Processes,Hydrology And Water Resource Management,Geographic Information Systems And Remote Sensing,Public Health And Epidemiology Related To Waterborne Diseases,Agricultural Practices And Their Impact On Water Quality,Industrial Pollution And Its Effects On Water Quality,Community Engagement And Participation In Water Quality Monitoring And Management,Funding And Financing Mechanisms For Water Quality Improvement Projects.,,,,,,,,
CNP,1,2499,ARK,A. R. Kumar,SHWM,SHWM,Development And Promotion Of Non-pops Alternatives To Ddt,"Central Pollution Control Board (cpcb), Delhi",43678,44408,45657,541.27,ONG,Environmental Science,Chemistry,Toxicology,Public Health,Agriculture,Pest Management,Policy And Regulations,Marketing And Communications,Sustainable Development,International Relations And Diplomacy,,,,,,,,
